Channels,Facebook Duration,Instagram Duration,Linkedin Duration,Reels Duration,Shorts Duration,X Duration,Youtube Duration,Threads Duration
A,0:01:22,0:06:09,0:00:00,0:04:29,0:01:44,0:00:00,0:10:35,0:00:00
B,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
C,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
D,0:14:07,0:02:52,0:00:00,0:19:20,0:21:03,0:00:00,2:05:08,0:00:00
E,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
F,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
G,0:07:17,0:00:00,0:00:00,0:17:53,0:02:34,0:00:00,0:00:00,0:00:00
H,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
I,0:03:50,0:03:50,0:00:00,0:02:31,0:05:56,0:00:00,0:00:00,0:00:00
J,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
K,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
L,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
M,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
N,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
O,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00
P,0:00:00,0:00:00,0:00:00,0:03:01,0:00:00,0:00:00,0:00:00,0:00:00
Q,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:08:56,0:00:00
R,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00,0:00:00