Input Type,Uploaded Count,Created Count,Published Count,Uploaded Duration (hh:mm:ss),Created Duration (hh:mm:ss),Published Duration (hh:mm:ss)
"interview","1299","4972","35","243:53:35","462:43:19","01:39:33"
"news bulletin","1026","3238","39","171:45:39","275:52:16","01:26:48"
"special reports","755","2129","15","133:00:44","197:50:49","00:19:20"
"speech","742","2390","12","132:41:32","217:47:28","00:19:01"
"debate","290","1074","5","63:41:34","98:17:21","00:18:53"
"press conference","280","973","2","51:06:27","85:26:19","00:02:47"
"discussion-show","19","79","3","04:36:46","10:03:23","00:16:15"
"sports show","17","19","0","02:54:17","02:55:10","00:00:00"
"Unknown","12","12","0","02:10:17","02:10:17","00:00:00"
"podcast","8","21","0","00:27:48","00:41:05","00:00:00"
"drama","4","4","0","01:17:02","01:17:02","00:00:00"
"in-brief","1","3","0","00:04:25","00:05:26","00:00:00"