"Month","Total Uploaded Duration","Total Created Duration","Total Published Duration"
"Apr, 2025","65:28:28","98:01:05","01:05:42"
"Aug, 2025","39:56:34","64:31:04","00:06:33"
"Dec, 2025","38:15:27","71:41:50","00:14:38"
"Feb, 2026","161:52:11","301:30:46","00:56:12"
"Jan, 2026","121:59:42","191:27:32","01:26:44"
"Jul, 2025","33:36:59","66:50:11","00:00:00"
"Jun, 2025","47:10:45","84:09:19","00:11:48"
"Mar, 2025","122:03:35","176:16:55","00:00:00"
"May, 2025","46:56:53","64:26:46","00:03:52"
"Nov, 2025","48:06:54","83:22:47","00:02:13"
"Oct, 2025","47:51:24","94:17:09","00:14:55"
"Sep, 2025","34:21:14","58:38:05","00:00:00"